id_pedido;fecha_despacho;dia_semana_despacho;provincia_destino;categoria_producto;peso_paquete_kg;volumen_paquete_cm3;proveedor_logistico;distancia_km;clima_despacho;es_vispera_feriado;tipo_envio;intentos_previos;etiqueta_fragil;entrega_demorada;codigo_postal_dest;valor_declarado_ars
1;6/12/2023;miércoles;Santa Fe;Electrónica;328;346530;Transporte Propio;294;Despejado;No;Express;1;No;0;B4626AAA;$ 142.244
2;9/12/2023;sábado;Santa Fe;Indumentaria;4029;878190;Correo Argentino;1652;Despejado;No;Same-Day;0;Sí;1;B4439AAA;$ 70.325
3;1/6/2023;jueves;Córdoba;Electrónica;527;57770;Andreani;1386;Despejado;No;Same-Day;2;No;0;B3921AAA;ARS 8120
4;20/4/2023;jueves;Buenos Aires;Bazar;2376;905180;Correo Argentino;555;Despejado;No;Express;0;No;0;B5236AAA;7825
5;3/5/2023;miércoles;Neuquén;Electrónica;2081;586050;Andreani;150;Tormenta;No;Express;2;Sí;0;B2077AAA;105110
6;29/10/2023;domingo;Córdoba;Indumentaria;444;196730;Transporte Propio;2428;Lluvia;No;Express;3;Sí;0;N/A;$ 71.444
7;24/4/2023;lunes;Córdoba;Bazar;279;127090;Correo Argentino;1232;Despejado;No;Express;1;No;0;B2072AAA;21969
8;5/9/2023;martes;Córdoba;Bazar;4984;342770;Oca;1010;Despejado;No;Express;2;No;1;B9913AAA;$ 72.503
9;12/4/2023;miércoles;CABA;Muebles;3764;786070;Transporte Propio;224;Lluvia;No;Express;3;No;0;B7377AAA;$ 5.862
10;22/9/2023;viernes;Tucumán;Indumentaria;683;519740;Andreani;1574;Despejado;No;Express;0;Sí;1;B9643AAA;41054
11;3/8/2023;jueves;Neuquén;Muebles;3113;993690;Andreani;1735;Despejado;Sí;Normal;3;No;1;B5746AAA;61165
12;8/1/2023;domingo;Salta;Electrónica;356;263250;Correo Argentino;2241;Tormenta;No;Normal;3;No;0;B7991AAA;132118
13;3/5/2023;miércoles;Tucumán;Juguetes;4241;160330;Andreani;2041;Tormenta;No;Same-Day;2;Sí;1;123;93093
14;26/5/2023;viernes;Mendoza;Juguetes;3573;901240;Correo Argentino;1134;Despejado;No;Express;1;Sí;1;B2169AAA;96145
15;16/2/2023;jueves;Mendoza;Bazar;4159;201530;Transporte Propio;622;Lluvia;Sí;Express;2;No;0;B7127AAA;82181
16;10/12/2023;domingo;Neuquén;Juguetes;452;755400;Transporte Propio;1112;Despejado;No;Express;0;Sí;0;B3632AAA;ARS 42037
17;14/5/2023;domingo;Mendoza;Juguetes;4758;557310;Transporte Propio;1112;Despejado;No;Same-Day;2;Sí;1;B1672AAA;143220
18;15/9/2023;viernes;Córdoba;Bazar;2527;80710;Transporte Propio;1724;Despejado;Sí;Same-Day;1;Sí;0;B19XX;65223
19;21/12/2023;jueves;Córdoba;Bazar;1299;441920;Andreani;836;Lluvia;No;Normal;0;Sí;0;B7702AAA;ARS 19812
20;1/8/2023;martes;Mendoza;Muebles;667;345300;Andreani;1609;Despejado;No;Normal;3;Sí;0;B6176AAA;13131
21;7/6/2023;miércoles;Neuquén;Indumentaria;4915;800740;Correo Argentino;2130;Despejado;Sí;Normal;1;No;0;B8777AAA;ARS 59870
22;23/4/2023;domingo;Córdoba;Indumentaria;4571;615850;Transporte Propio;1145;Lluvia;No;Express;2;No;0;B7873AAA;$ 31.277
23;6/8/2023;domingo;Mendoza;Juguetes;965;357940;Transporte Propio;1663;Despejado;Sí;Express;2;No;1;B3684AAA;$ 145.952
24;2/2/2023;jueves;Neuquén;Muebles;617;692660;Oca;1911;Lluvia;No;Same-Day;3;No;0;B4788AAA;79012
25;20/6/2023;martes;Salta;Muebles;331;49140;Andreani;1329;Despejado;No;Express;1;Sí;0;B6114AAA;$ 87.198
26;19/4/2023;miércoles;CABA;Muebles;79;41460;Transporte Propio;1928;Despejado;No;Express;3;No;0;B19XX;$ 20.442
27;8/11/2023;miércoles;Neuquén;Juguetes;2168;246390;Oca;2423;Despejado;No;Same-Day;0;No;0;B2585AAA;$ 50.517
28;19/1/2023;jueves;CABA;Indumentaria;1809;285370;Correo Argentino;1343;Despejado;No;Same-Day;1;Sí;0;B8059AAA;46950
29;30/6/2023;viernes;Salta;Indumentaria;3882;558420;Correo Argentino;2138;Tormenta;No;Same-Day;3;Sí;1;B1682AAA;ARS 95740
30;2/2/2023;jueves;Córdoba;Indumentaria;4783;276490;Transporte Propio;132;Lluvia;No;Express;2;No;0;B2626AAA;140725
31;25/6/2023;domingo;Neuquén;Muebles;251;988950;Andreani;669;Lluvia;Sí;Normal;0;Sí;0;B9071AAA;31388
32;4/12/2023;lunes;Mendoza;Muebles;4129;184940;Andreani;498;Lluvia;No;Normal;2;Sí;0;B2409AAA;128246
33;1/1/2024;lunes;Tucumán;Juguetes;3723;678630;Transporte Propio;737;Despejado;No;Normal;2;Sí;0;B5136AAA;$ 33.512
34;5/11/2023;domingo;Neuquén;Juguetes;2971;358880;Correo Argentino;50;Despejado;No;Same-Day;1;Sí;0;B6926AAA;$ 148.796
35;2/12/2023;sábado;Buenos Aires;Electrónica;2234;231810;Oca;1696;Despejado;No;Express;3;No;0;B5601AAA;144292
36;22/6/2023;jueves;Córdoba;Indumentaria;518;343800;Transporte Propio;1592;Lluvia;No;Same-Day;2;No;0;B2628AAA;ARS 1289
37;26/12/2023;martes;Salta;Electrónica;4677;909270;Correo Argentino;1044;Despejado;No;Express;0;No;0;123;ARS 112498
38;10/4/2023;lunes;CABA;Bazar;2669;532970;Andreani;1688;Despejado;No;Express;2;Sí;0;B9809AAA;$ 41.213
39;6/12/2023;miércoles;Neuquén;Juguetes;746;666600;Oca;1617;Despejado;No;Normal;1;Sí;0;123;$ 84.055
40;29/7/2023;sábado;Salta;Bazar;709;128550;Andreani;354;Despejado;Sí;Express;2;Sí;1;B5389AAA;ARS 66271
41;11/10/2023;miércoles;Salta;Indumentaria;4419;289110;Correo Argentino;1224;Despejado;No;Same-Day;3;Sí;0;B8838AAA;$ 6.194
42;19/5/2023;viernes;Córdoba;Bazar;3728;212280;Oca;898;Despejado;No;Same-Day;3;No;0;B8776AAA;$ 140.234
43;28/1/2023;sábado;Santa Fe;Muebles;5;582490;Andreani;357;Despejado;No;Same-Day;0;Sí;0;B6946AAA;$ 19.214
44;16/11/2023;jueves;Tucumán;Bazar;66;691740;Correo Argentino;821;Tormenta;No;Same-Day;1;Sí;0;B4258AAA;94740
45;8/1/2023;domingo;Buenos Aires;Muebles;4423;876300;Correo Argentino;2492;Despejado;No;Same-Day;0;Sí;0;B1300AAA;4951
46;25/10/2023;miércoles;Salta;Muebles;317;539360;Andreani;1517;Despejado;No;Express;2;No;0;B3270AAA;3777
47;9/11/2023;jueves;Buenos Aires;Juguetes;378;937780;Andreani;938;Despejado;Sí;Same-Day;3;No;1;B4233AAA;$ 74.681
48;19/5/2023;viernes;CABA;Juguetes;1862;166710;Andreani;1789;Lluvia;No;Same-Day;1;No;0;N/A;16581
49;30/7/2023;domingo;Salta;Muebles;4381;331750;Transporte Propio;2228;Lluvia;No;Express;2;Sí;0;B6965AAA;113087
50;11/4/2023;martes;Córdoba;Juguetes;3969;122880;Andreani;974;Lluvia;Sí;Same-Day;0;Sí;0;B4956AAA;76840
51;15/8/2023;martes;Mendoza;Juguetes;4469;360590;Andreani;2274;Despejado;No;Same-Day;3;Sí;0;B4653AAA;$ 10.873
52;4/1/2023;miércoles;Salta;Juguetes;1071;676920;Transporte Propio;508;Despejado;No;Express;0;No;1;B2960AAA;$ 101.989
53;21/9/2023;jueves;Buenos Aires;Bazar;3486;419810;Oca;1873;Lluvia;No;Express;3;No;0;B4464AAA;50805
54;23/4/2023;domingo;Salta;Muebles;3611;598100;Correo Argentino;1842;Despejado;No;Same-Day;3;No;0;B3437AAA;$ 122.044
55;9/11/2023;jueves;Tucumán;Bazar;1837;77380;Transporte Propio;2356;Despejado;No;Same-Day;2;Sí;0;B4454AAA;112571
56;1/6/2023;jueves;Mendoza;Muebles;2636;260510;Transporte Propio;589;Despejado;No;Express;0;No;0;B1134AAA;$ 131.775
57;30/4/2023;domingo;Tucumán;Indumentaria;3206;486490;Correo Argentino;1969;Despejado;No;Express;1;Sí;0;B9152AAA;72429
58;25/7/2023;martes;Salta;Bazar;4168;976380;Transporte Propio;693;Despejado;No;Same-Day;2;Sí;0;B6238AAA;$ 65.686
59;9/2/2023;jueves;CABA;Electrónica;1754;526680;Oca;1945;Despejado;No;Normal;2;No;0;B4587AAA;$ 3.475
60;18/8/2023;viernes;Mendoza;Juguetes;1566;539160;Andreani;1605;Despejado;No;Normal;2;No;1;B7622AAA;$ 96.192
61;30/8/2023;miércoles;Córdoba;Electrónica;3088;560470;Transporte Propio;609;Tormenta;No;Normal;1;Sí;0;B9275AAA;123124
62;12/10/2023;jueves;Córdoba;Electrónica;4507;499290;Transporte Propio;331;Tormenta;No;Normal;3;Sí;1;B5828AAA;127255
63;9/4/2023;domingo;Buenos Aires;Juguetes;1523;910580;Correo Argentino;450;Lluvia;No;Express;2;No;1;B19XX;75237
64;29/1/2023;domingo;Neuquén;Electrónica;3552;541110;Oca;1283;Despejado;No;Normal;3;No;0;B8227AAA;149231
65;3/12/2023;domingo;Neuquén;Muebles;3249;790500;Andreani;2300;Despejado;No;Express;0;Sí;0;B3433AAA;ARS 14478
66;18/9/2023;lunes;Neuquén;Bazar;273;887460;Correo Argentino;2337;Lluvia;No;Express;0;No;0;B2181AAA;$ 40.209
67;1/6/2023;jueves;Neuquén;Bazar;1016;306340;Correo Argentino;786;Despejado;No;Express;3;No;0;B7835AAA;ARS 108728
68;30/1/2023;lunes;Córdoba;Juguetes;2722;590350;Andreani;219;Despejado;No;Express;2;Sí;0;B1875AAA;138642
69;9/9/2023;sábado;Tucumán;Electrónica;905;895460;Oca;279;Despejado;No;Same-Day;2;Sí;0;B19XX;ARS 99966
70;4/10/2023;miércoles;Buenos Aires;Indumentaria;226;146400;Transporte Propio;1728;Despejado;No;Express;1;Sí;0;B1075AAA;45781
71;25/12/2023;lunes;Mendoza;Muebles;626;864310;Correo Argentino;490;Despejado;No;Express;2;Sí;0;B5267AAA;6495
72;26/2/2023;domingo;Santa Fe;Indumentaria;1647;96770;Andreani;285;Despejado;No;Express;2;Sí;0;B7967AAA;$ 89.755
73;2/6/2023;viernes;CABA;Bazar;1162;902680;Transporte Propio;620;Despejado;Sí;Same-Day;1;No;0;B1157AAA;$ 138.867
74;26/7/2023;miércoles;Salta;Bazar;2742;519960;Correo Argentino;603;Lluvia;No;Normal;0;No;0;B8817AAA;47583
75;14/4/2023;viernes;CABA;Muebles;3186;919330;Andreani;1016;Despejado;No;Same-Day;3;No;1;B9887AAA;ARS 94601
76;13/6/2023;martes;Buenos Aires;Bazar;4817;758230;Oca;1165;Despejado;No;Normal;1;Sí;0;B1343AAA;$ 33.886
77;26/11/2023;domingo;Córdoba;Bazar;2296;664270;Andreani;2283;Tormenta;No;Normal;1;No;1;B3211AAA;90542
78;26/6/2023;lunes;Santa Fe;Bazar;1778;168970;Transporte Propio;34;Despejado;No;Same-Day;0;Sí;0;123;40829
79;25/9/2023;lunes;Mendoza;Electrónica;2342;949600;Andreani;989;Despejado;No;Express;3;No;0;B1271AAA;$ 138.439
80;21/11/2023;martes;Tucumán;Juguetes;3513;265740;Transporte Propio;992;Lluvia;No;Normal;3;No;0;B6470AAA;119805
81;3/1/2023;martes;Córdoba;Bazar;2164;215510;Correo Argentino;1924;Despejado;No;Same-Day;1;Sí;0;B4187AAA;1847
82;10/11/2023;viernes;Tucumán;Muebles;2591;992450;Andreani;138;Despejado;No;Express;1;Sí;1;N/A;ARS 109971
83;28/11/2023;martes;Tucumán;Bazar;4015;159130;Oca;1989;Lluvia;No;Express;3;Sí;1;B4194AAA;$ 114.356
84;13/6/2023;martes;Neuquén;Bazar;1924;713770;Transporte Propio;2054;Lluvia;No;Normal;0;Sí;0;B2964AAA;136036
85;4/3/2023;sábado;Salta;Electrónica;2133;617450;Andreani;1577;Tormenta;No;Normal;2;Sí;1;B7502AAA;135219
86;5/6/2023;lunes;Buenos Aires;Indumentaria;1701;996270;Oca;2381;Lluvia;No;Normal;3;No;0;B6885AAA;$ 114.084
87;30/11/2023;jueves;Mendoza;Electrónica;3567;158580;Transporte Propio;2134;Despejado;No;Express;0;No;0;B8264AAA;70927
88;3/1/2023;martes;Tucumán;Muebles;209;717600;Transporte Propio;89;Despejado;No;Same-Day;0;Sí;0;B1413AAA;67023
89;4/5/2023;jueves;Neuquén;Muebles;4243;438160;Andreani;1831;Despejado;No;Same-Day;0;Sí;0;B4780AAA;$ 130.966
90;18/4/2023;martes;Neuquén;Juguetes;674;821890;Andreani;2150;Tormenta;No;Normal;3;Sí;0;B4370AAA;ARS 137300
91;18/4/2023;martes;Córdoba;Juguetes;2807;407270;Oca;1353;Despejado;No;Express;1;Sí;0;B6596AAA;86389
92;3/9/2023;domingo;Neuquén;Bazar;3938;830290;Correo Argentino;1710;Despejado;No;Same-Day;2;No;0;B9820AAA;$ 118.312
93;4/4/2023;martes;Salta;Indumentaria;394;331390;Correo Argentino;823;Despejado;No;Express;0;Sí;0;B3403AAA;$ 124.416
94;1/8/2023;martes;Santa Fe;Muebles;555;307560;Andreani;1434;Despejado;Sí;Same-Day;1;No;0;B19XX;82198
95;23/7/2023;domingo;Salta;Juguetes;2245;76780;Transporte Propio;453;Despejado;No;Express;3;No;0;B3449AAA;$ 82.191
96;31/8/2023;jueves;Buenos Aires;Muebles;268;460580;Andreani;1869;Despejado;No;Express;2;Sí;1;B6006AAA;148550
97;29/10/2023;domingo;Salta;Muebles;93;724090;Oca;974;Despejado;No;Normal;0;No;0;N/A;ARS 90133
98;13/11/2023;lunes;Tucumán;Electrónica;1199;684950;Correo Argentino;1969;Despejado;No;Same-Day;2;Sí;0;B2709AAA;ARS 89288
99;25/3/2023;sábado;Neuquén;Juguetes;4912;763590;Oca;458;Despejado;No;Same-Day;2;Sí;0;B8421AAA;$ 101.517
100;27/5/2023;sábado;Neuquén;Bazar;2582;624050;Correo Argentino;1959;Despejado;No;Same-Day;2;Sí;0;B1753AAA;ARS 108783
101;15/8/2023;martes;CABA;Electrónica;3111;479280;Correo Argentino;1651;Despejado;No;Same-Day;2;No;1;B1575AAA;67716
102;30/9/2023;sábado;Buenos Aires;Indumentaria;2699;753330;Correo Argentino;597;Despejado;No;Normal;1;No;1;B9341AAA;$ 51.904
103;13/9/2023;miércoles;Neuquén;Muebles;104;116630;Andreani;180;Lluvia;No;Normal;1;No;0;B1918AAA;ARS 83527
104;9/7/2023;domingo;Mendoza;Muebles;3041;433120;Transporte Propio;680;Despejado;No;Normal;2;No;0;B8642AAA;ARS 34736
105;23/10/2023;lunes;Santa Fe;Indumentaria;136;88920;Correo Argentino;1609;Despejado;Sí;Same-Day;1;No;1;B5972AAA;ARS 25305
106;15/6/2023;jueves;Tucumán;Indumentaria;353;846360;Correo Argentino;1969;Tormenta;No;Express;2;Sí;1;B8629AAA;138533
107;22/8/2023;martes;Buenos Aires;Muebles;1446;420300;Andreani;1925;Despejado;No;Same-Day;1;No;0;B6468AAA;98662
108;30/3/2023;jueves;Salta;Muebles;3456;177660;Transporte Propio;522;Despejado;No;Same-Day;1;Sí;0;B19XX;ARS 125127
109;14/1/2023;sábado;Buenos Aires;Electrónica;949;861480;Transporte Propio;438;Despejado;No;Express;3;No;0;B8050AAA;108019
110;24/12/2023;domingo;Tucumán;Muebles;4364;193810;Andreani;1141;Despejado;No;Same-Day;2;No;0;B7955AAA;50923
111;12/12/2023;martes;Mendoza;Muebles;756;577190;Oca;1135;Despejado;No;Same-Day;1;No;0;B4510AAA;19698
112;28/4/2023;viernes;Córdoba;Indumentaria;3228;248940;Oca;1116;Lluvia;No;Express;3;Sí;0;B7925AAA;ARS 120669
113;2/4/2023;domingo;Córdoba;Electrónica;1656;921500;Andreani;2291;Despejado;Sí;Same-Day;1;No;1;B1102AAA;$ 133.785
114;1/5/2023;lunes;Mendoza;Electrónica;4361;775910;Transporte Propio;799;Lluvia;No;Normal;3;No;0;B5882AAA;$ 139.371
115;6/11/2023;lunes;Buenos Aires;Indumentaria;4388;830080;Correo Argentino;635;Despejado;No;Normal;2;Sí;1;B6259AAA;$ 121.162
116;4/10/2023;miércoles;CABA;Electrónica;1589;900290;Oca;581;Tormenta;No;Same-Day;2;No;0;B7464AAA;$ 87.829
117;31/1/2023;martes;Córdoba;Bazar;4907;512370;Transporte Propio;1649;Despejado;No;Express;3;No;1;B2556AAA;$ 44.808
118;31/3/2023;viernes;Neuquén;Electrónica;1455;842910;Andreani;1892;Despejado;No;Normal;0;Sí;0;B19XX;$ 55.233
119;13/3/2023;lunes;Mendoza;Muebles;1578;192820;Transporte Propio;267;Despejado;No;Express;2;Sí;0;B8241AAA;$ 71.513
120;8/6/2023;jueves;Santa Fe;Electrónica;3369;827990;Andreani;1077;Despejado;No;Same-Day;2;No;1;B5118AAA;ARS 112792
121;9/8/2023;miércoles;Buenos Aires;Bazar;1597;169310;Andreani;2018;Tormenta;No;Express;3;No;1;B2269AAA;76482
122;12/2/2023;domingo;Neuquén;Juguetes;35;869420;Andreani;708;Lluvia;No;Normal;1;Sí;0;B4800AAA;$ 82.277
123;16/8/2023;miércoles;Tucumán;Electrónica;2943;569000;Andreani;1521;Despejado;No;Express;3;Sí;0;B6716AAA;ARS 145966
124;23/6/2023;viernes;Buenos Aires;Juguetes;4115;827480;Oca;452;Despejado;No;Normal;2;No;0;B1797AAA;ARS 65865
125;26/3/2023;domingo;Córdoba;Juguetes;115;303150;Transporte Propio;65;Lluvia;Sí;Normal;3;Sí;1;B4302AAA;139647
126;4/2/2023;sábado;Mendoza;Bazar;1829;775310;Andreani;1943;Despejado;No;Same-Day;3;No;0;B2388AAA;16468
127;11/7/2023;martes;Neuquén;Electrónica;4439;476060;Oca;2039;Despejado;No;Same-Day;1;Sí;1;B5906AAA;51803
128;8/12/2023;viernes;Neuquén;Indumentaria;1919;24670;Oca;538;Despejado;No;Normal;1;Sí;0;B3488AAA;$ 15.333
129;19/3/2023;domingo;Santa Fe;Electrónica;2134;230240;Andreani;2450;Despejado;No;Normal;0;Sí;0;B8616AAA;$ 140.334
130;24/12/2023;domingo;Neuquén;Muebles;2603;216360;Andreani;1546;Lluvia;Sí;Express;3;Sí;1;B6587AAA;112298
131;23/3/2023;jueves;Córdoba;Indumentaria;2814;988130;Andreani;330;Despejado;No;Same-Day;3;No;0;B6841AAA;$ 131.912
132;8/6/2023;jueves;Santa Fe;Juguetes;1863;921690;Andreani;1829;Tormenta;No;Same-Day;3;No;1;N/A;$ 120.804
133;21/2/2023;martes;Salta;Bazar;2749;319700;Andreani;1887;Lluvia;Sí;Same-Day;3;Sí;1;B5736AAA;$ 14.964
